locationname,type,final_address,Postcode,Latitude,Longitude
P.S. 119,prek,"1075 Pugsley Avenue, Bronx NY 10472",10472,40.828518,-73.856569
Seventh Avenue Center for Family Services,prek,"711 Lenox Avenue, Manhattan NY 10039",10039,40.8208,-73.935978
Urban Concepts/Round the Clock,prek,"3333 Broadway, Manhattan NY 10031",,,
Utopia Children's Center,prek,"236 West 129th Street, Manhattan NY 10027",10027,40.811811,-73.947207
Citizens Care DCC 3,prek,"3240 Broadway, Manhattan NY 10027",10027,40.816951,-73.957365
ECDO Child Start Center,prek,"249 West 144th Street, Manhattan NY 10030",10030,40.821585,-73.94101
Addie Mae Collins 1,prek,"110 East 129th Street, Manhattan NY 10035",10035,40.807387,-73.936695
New York Center for Child Development,prek,"159 West 127th Street, Manhattan NY 10027",10027,40.809752,-73.946114
East Harlem Block Nursery 2,prek,"2112 Madison Avenue, Manhattan NY 10037",10037,40.810664,-73.937064
ECDO Adam Clayton Powell Early Learn Center,prek,"25 West 132nd Street, Manhattan NY 10037",10037,40.811289,-73.940029
Singleton Gems,prek,"23 West 124th Street, Manhattan NY 10027",10027,40.806111,-73.943606
Urban Concepts/Round the Clock,prek,"300 W 145th Street, Manhattan NY 10039",10039,40.822892,-73.942071
P.S. 4 Duke Ellington,prek,"500 West 160th Street, Manhattan NY 10032",10032,40.834899,-73.941085
P.S. 28 Wright Brothers,prek,"475 West 155th Street, Manhattan NY 10032",10032,40.831227,-73.942143
P.S. 48 P.O. Michael J. Buczek,prek,"4360-78 Broadway, Manhattan NY 10033",10033,40.853466,-73.934048
P.S. 98 Shorac Kappock,prek,"512 West 212th Street, Manhattan NY 10034",10034,40.867826,-73.917059
P.S. 115 Alexander Humboldt,prek,"586 West 177th Street, Manhattan NY 10033",10033,40.846542,-73.935205
P.S. 128 Audubon,prek,"560 West 169th Street, Manhattan NY 10032",10032,40.841321,-73.938506
P.S. 152 Dyckman Valley,prek,"93 Nagle Avenue, Manhattan NY 10040",10040,40.860412,-73.927936
P.S. 153 Adam Clayton Powell,prek,"1750 Amsterdam Avenue, Manhattan NY 10031",10031,40.826295,-73.946845
P.S. 173,prek,"306 Fort Washington Avenue, Manhattan NY 10033",10033,40.845469,-73.940468
P.S./I.S. 187 Hudson Cliffs,prek,"349 Cabrini Boulevard, Manhattan NY 10040",10040,40.856693,-73.937093
P.S. 189,prek,"2580 Amsterdam Avenue, Manhattan NY 10040",10040,40.852631,-73.927604
P.S. 192 Jacob H. Schiff,prek,"500 West 138th Street, Manhattan NY 10031",10031,40.820953,-73.951145
LSSMNY: Early LIFE Childrens Center 14,prek,"510-16 West 145th Street, Manhattan NY 10031",10031,40.82548,-73.948215
Athena Scholars,prek,"811 54th Street, Brooklyn NY 11220",11220,40.63859,-74.005549
P.S./I.S. 210 Twenty-First Century Academy for Community Leadership,prek,"501-503 West 152nd Street, Manhattan NY 10031",10031,40.829832,-73.944789
Washington Heights Expeditionary Learning School,prek,"511 West 182nd Street, Manhattan NY 10033",10033,40.848908,-73.930948
Washington Heights Academy,prek,"202 Sherman Avenue, Manhattan NY 10034",10034,40.8654,-73.921101
Castle Bridge School,prek,"560 West 169th Street, Manhattan NY 10032",10032,40.841321,-73.938506
Good Shepherd School,prek,"620 Isham Street, Manhattan NY 10034",10034,40.869198,-73.92046
Incarnation School,prek,"570 West 175th Street, Manhattan NY 10033",10033,40.845123,-73.935864
Our Lady Queen of Martyrs School,prek,"71 Arden Street, Manhattan NY 10040",10040,40.863192,-73.927925
St. Rose of Lima School,prek,"517 West 164th Street, Manhattan NY 10032",10032,40.837528,-73.939525
YM & YWHA of Washington Heights and Inwood,prek,"54 Nagle Avenue, Manhattan NY 10040",10040,40.859993,-73.929129
"Rena Child Care Centers, Inc.",prek,"639 Edgecombe Avenue, Manhattan NY 10032",10032,40.837754,-73.936438
Friends of Crown Heights DCC #28,prek,"3732 10th Avenue, Manhattan NY 10034",10034,40.859898,-73.922264
P.S. 130 Abram Stevens Hewitt,prek,"750 Prospect Avenue, Bronx NY 10455",10455,40.817721,-73.902421
Children's Aid Society,prek,"93 Nagle Avenue, Manhattan NY 10040",10040,40.860412,-73.927936
Saint Elizabeth Pre Kindergarten,prek,"612 West 187th Street, Manhattan NY 10033",10033,40.853229,-73.93141
Fort George Head Start Center # 1,prek,"1525 Saint Nicholas Avenue, Manhattan NY 10033",10033,40.85263,-73.931324
Northern Manhattan Head Start,prek,"529 West 155th Street, Manhattan NY 10032",10032,40.83198,-73.943935
UFBCO,prek,"474 West 159th Street, Manhattan NY 10032",10032,40.833655,-73.94007
Washington Heights DCC,prek,"610-614 West 175th Street, Manhattan NY 10033",10033,40.845604,-73.937006
Nicholas Cardell Day Care Center,prek,"84 Vermilyea Avenue, Manhattan NY 10034",10034,40.865838,-73.923128
Dominican Women's Development Center,prek,"2346 Amsterdam Avenue, Manhattan NY 10033",10033,40.845196,-73.933037
Children's Aid Society's P.S. 5 Early Childhood Program,prek,"3703 Tenth Avenue, Manhattan NY 10034",10034,40.85899,-73.922894
Children's Aid Society at P.S. 8,prek,"465 West 167th Street, Manhattan NY 10032",10032,40.838954,-73.936838
Manhattan Early Childhood Center,prek,"554 Fort Washington Avenue, Manhattan NY 10033",10033,40.853907,-73.937258
Fort George Child Center 1,prek,"601 West 186th Street, Manhattan NY 10033",10033,40.852466,-73.931675
Sugar Hill Museum Preschool,prek,"400 W 155th Street, Manhattan NY 10032",10032,40.830516,-73.940507
