printedschoolname,type,address,Postcode,Latitude,Longitude,score
Mary White Ovington (P.S./I.S. 30),middle,"7002 4th Avenue, Brooklyn NY 11209",11209,40.63359,-74.023948,0.95
The Magnet School for Math and Science Inquiry (P.S./I.S. 192),middle,"4715 18th Avenue, Brooklyn NY 11204",11204,40.629303,-73.979995,0.95
The Kingsborough Early College Secondary School,middle,"2630 Benson Avenue, Brooklyn NY 11214",11214,40.594291,-73.98577,0.95
Channel View School for Research,middle,"100-00 Beach Channel Street, Queens NY 11694",11694,40.583775,-73.839659,0.95
Urban Assembly Unison School,middle,"170 Gates Avenue, Brooklyn NY 11238",11238,40.68505,-73.960659,0.95
Urban Assembly Institute of Math and Science for Young Women (M.S. 527),middle,"283 Adams Street, Brooklyn NY 11201",11201,40.694682,-73.988853,0.95
John Ericsson Middle School (M.S. 126),middle,"424 Leonard Street, Brooklyn NY 11222",11222,40.719819,-73.948625,0.95
Dorothy Bonawit Kole (P.S./I.S. 49),middle,"63-60 80th Street, Queens NY 11379",11379,40.719867,-73.875093,0.95
Queens Valley School,middle,"138-01 77th Avenue, Queens NY 11367",11367,40.720924,-73.823362,0.95
William H. Carr (J.H.S. 194),middle,"154-60 17th Avenue, Queens NY 11357",11357,40.78365,-73.807838,0.95
East-West School of International Studies,middle,"46-21 Colden Street, Queens NY 11355",11355,40.749545,-73.822073,0.95
John H. Finley (P.S./M.S. 129),middle,"425 West 130th Street, Manhattan NY 10027",10027,40.814637,-73.951912,0.95
The Academy for Independent Learning and Leadership (P.S./M.S. 129),middle,"2055 Mapes Avenue, Bronx NY 10460",10460,40.845878,-73.886184,0.95
Ebbets Field Middle School,middle,"46 McKeever Place, Brooklyn NY 11225",11225,40.665035,-73.959031,0.95
Elijah Stroud Middle School,middle,"750 Classon Avenue, Brooklyn NY 11238",11238,40.674406,-73.960254,0.95
The Fort Hamilton School (P.S./I.S. 104),middle,"9115 5th Avenue, Brooklyn NY 11209",11209,40.618415,-74.028842,0.96
Edward B. Shallow (J.H.S. 227),middle,"6500 16th Avenue, Brooklyn NY 11204",11204,40.62191,-73.995022,0.96
The Anne Sullivan School (P.S./I.S. 238),middle,"1633 East 8th Street, Brooklyn NY 11223",11223,40.608862,-73.965058,0.96
America's School of Heroes (M.S. 137),middle,"109-15 98th Street, Queens NY 11417",11417,40.6781,-73.839948,0.96
Elizabeth Blackwell (J.H.S. 210),middle,"93-11 101st Avenue, Queens NY 11416",11416,40.683858,-73.84747,0.96
Hawtree Creek Middle School-M.S. 297,middle,"121-10 Rockaway Boulevard, Queens NY 11420",11420,40.675771,-73.816938,0.96
Shuang Wen School (P.S. 184),middle,"327 Cherry Street, Manhattan NY 10002",10002,40.711549,-73.986542,0.96
Robert Fulton (P.S./M.S. 8),middle,"105 Tech Place, Brooklyn NY 11201",11201,40.694926,-73.986015,0.96
Academy of Arts and Letters,middle,"225 Adelphi Street, Brooklyn NY 11205",11205,40.690765,-73.971376,0.96
The Young Women's Leadership School of Brooklyn,middle,"325 Bushwick Avenue, Brooklyn NY 11206",11206,40.705204,-73.939407,0.96
P.S./I.S. 102Q,middle,"55-24 Van Horn Street, Queens NY 11373",11373,40.733514,-73.877857,0.96
Anthony J. Pranzo (P.S./I.S. 113),middle,"78-23 87th Street, Queens NY 11385",11385,40.705516,-73.862208,0.96
Daniel Carter Beard (J.H.S. 189),middle,"144-80 Barclay Avenue, Queens NY 11355",11355,40.759844,-73.820548,0.96
Anning S. Prall (I.S. 27),middle,"11 Clove Lake Place, Staten Island NY 10310",10310,40.628169,-74.116997,0.96
Knowledge and Power Preparatory Academy III,middle,"2055 Mapes Avenue, Bronx NY 10460",10460,40.845878,-73.886184,0.96
The Mott Hall School,middle,"71-111 Convent Avenue, Manhattan NY 10027",10027,40.815458,-73.952908,0.97
Harbor Heights Middle School,middle,"306 Fort Washington Avenue, Manhattan NY 10033",10033,40.845469,-73.940468,0.97
P.S. 163 Bath Beach,middle,"109 Bay 14th Street, Brooklyn NY 11214",11214,40.606792,-74.00806,0.97
The Gravesend School (P.S. 95),middle,"345 Van Sicklen Street, Brooklyn NY 11223",11223,40.595698,-73.97518,0.97
Isaac Asimov (P.S. 99),middle,"1120 East 10th Street, Brooklyn NY 11230",11230,40.621565,-73.965595,0.97
Nelson A. Rockefeller (P.S./I.S. 121) Magnet School of Applied Life Sciences,middle,"5301 20th Avenue, Brooklyn NY 11204",11204,40.623273,-73.978822,0.97
Joseph B. Cavallaro (I.S. 281),middle,"8787 24th Avenue, Brooklyn NY 11214",11214,40.595341,-73.993457,0.97
The Rockwood Park School (P.S. 207),middle,"159-15 88th Street, Queens NY 11414",11414,40.658089,-73.844432,0.97
Goldie Maple Academy,middle,"3-65 Beach 56th Street, Queens NY 11692",11692,40.593967,-73.786182,0.97
Eugenio Maria de Hostos (I.S. 318),middle,"101 Walton Street, Brooklyn NY 11206",11206,40.7025,-73.948869,0.97
World Journalism Preparatory: A College Board School,middle,"34-65 192nd Street, Queens NY 11358",11358,40.765133,-73.790083,0.97
Police Officer Rocco Laurie Intermediate School (I.S. 72),middle,"33 Ferndale Avenue, Staten Island NY 10314",10314,40.593005,-74.158988,0.97
"Columbia Secondary School for Math, Science and Engineering",middle,"425 West 123rd Street, Manhattan NY 10027",10027,40.810431,-73.955809,0.97
Bronx Latin,middle,"800 Home Street, Bronx NY 10456",10456,40.827743,-73.900105,0.97
I.S. 340,middle,"227 Sterling Place, Brooklyn NY 11238",11238,40.676094,-73.97038,0.97
I.S. 52 (Inwood Intermediate School 52),middle,"650 Academy Street, Manhattan NY 10034",10034,40.866053,-73.924835,0.98
The Salome Ureña de Henriquez School (I.S. 218),middle,"4600 Broadway, Manhattan NY 10040",10040,40.86079,-73.930672,0.98
City College Academy of The Arts,middle,"4600 Broadway, Manhattan NY 10040",10040,40.86079,-73.930672,0.98
Washington Heights Academy,middle,"202 Sherman Avenue, Manhattan NY 10034",10034,40.8654,-73.921101,0.98
Ditmas Junior High School (J.H.S. 62),middle,"700 Cortelyou Road, Brooklyn NY 11218",11218,40.638686,-73.971651,0.98
The SEEALL Academy,middle,"5601 16th Avenue, Brooklyn NY 11204",11204,40.627029,-73.989672,0.98
Dyker Heights (J.H.S. 201),middle,"8010 12th Avenue, Brooklyn NY 11228",11228,40.618676,-74.012722,0.98
John J. Pershing (J.H.S. 220),middle,"4812 9th Avenue, Brooklyn NY 11220",11220,40.640545,-74.000731,0.98
The Eileen E. Zaglin School (P.S. 225),middle,"1075 Ocean View Avenue, Brooklyn NY 11235",11235,40.579737,-73.956329,0.98
Herbert S. Eisenberg (I.S. 303) Academy for Career Exploration,middle,"501 West Avenue, Brooklyn NY 11224",11224,40.5825,-73.973122,0.98
The Belle Harbor School (P.S./M.S. 114),middle,"134-01 Cronston Avenue, Queens NY 11694",11694,40.578261,-73.854403,0.98
Osmond A. Church (P.S./M.S. 124),middle,"129-15 150th Avenue, Queens NY 11420",11420,40.665058,-73.811701,0.98
The Howard Beach School (P.S./M.S. 146),middle,"98-01 159th Avenue, Queens NY 11414",11414,40.659873,-73.835068,0.98
Robert H. Goddard (M.S. 202),middle,"138-30 Lafayette Street, Queens NY 11417",11417,40.67124,-73.845141,0.98
Village Academy,middle,"10-45 Nameoke Street, Queens NY 11691",11691,40.603622,-73.749097,0.98
Edward Bleeker (J.H.S. 185),middle,"147-26 25th Drive, Queens NY 11354",11354,40.775253,-73.819347,0.98
The Magnet School of Global Studies & Leadership (P.S./M.S. 200),middle,"70-10 164th Street, Queens NY 11365",11365,40.731369,-73.805116,0.98
"Queens College School for Math, Science and Technology",middle,"148-20 Reeves Avenue, Queens NY 11367",11367,40.739246,-73.822057,0.98
Myra S. Barnes (I.S. 24),middle,"225 Cleveland Avenue, Staten Island NY 10308",10308,40.545281,-74.14632,0.98
William G. Wilcox - Atlas Academy (P.S./I.S. 48),middle,"1050 Targee Street, Staten Island NY 10304",10304,40.603484,-74.091237,0.98
The Bilingual Center (P.S. 189),middle,"1100 East New York Avenue, Brooklyn NY 11212",11212,40.665565,-73.926246,0.98
Nathaniel Hawthorne (J.H.S. 74),middle,"61-15 Oceania Street, Queens NY 11364",11364,40.745201,-73.767446,0.98
Hudson Cliffs School (P.S./I.S. 187),middle,"349 Cabrini Boulevard, Manhattan NY 10040",10040,40.856693,-73.937093,0.99
The Academy of Public Relations,middle,"778 Forest Avenue, Bronx NY 10456",10456,40.818874,-73.905927,0.99
Academy of Applied Mathematics & Technology,middle,"345 Brook Avenue, Bronx NY 10454",10454,40.81004,-73.917792,0.99
Brooklyn Studio Secondary School,middle,"8310 21st Avenue, Brooklyn NY 11214",11214,40.604879,-73.994404,0.99
P.S./I.S. 229,middle,"1400 Benson Avenue, Brooklyn NY 11228",11228,40.610963,-74.013376,0.99
William McKinley (J.H.S. 259),middle,"7305 Ft Hamilton Parkway, Brooklyn NY 11228",11228,40.62668,-74.01512,0.99
David A. Boody (I.S. 228),middle,"228 Avenue S, Brooklyn NY 11223",11223,40.6013,-73.976953,0.99
Lindenwood (P.S. 232),middle,"153-23 83rd Street, Queens NY 11414",11414,40.665909,-73.851216,0.99
Knowledge and Power Preparatory Academy VI,middle,"8-21 Bay 25th Street, Queens NY 11691",11691,40.60201,-73.762795,0.99
Adrien Block (I.S. 25),middle,"34-65 192nd Street, Queens NY 11358",11358,40.765133,-73.790083,0.99
The Frank Sansivieri Intermediate School (I.S. 73),middle,"70-02 54th Avenue, Queens NY 11378",11378,40.729215,-73.893624,0.99
The Middle Village School (P.S./I.S. 87),middle,"67-54 80th Street, Queens NY 11379",11379,40.711815,-73.871238,0.99
Glendale (I.S. 119),middle,"74-01 78th Avenue, Queens NY 11385",11385,40.704406,-73.875183,0.99
Juniper Valley (P.S. 128),middle,"69-10 65th Drive, Queens NY 11379",11379,40.715344,-73.886215,0.99
Paul Klapper (P.S./M.S. 219),middle,"144-39 Gravett Road, Queens NY 11367",11367,40.735275,-73.823778,0.99
BELL Academy,middle,"18-25 212th Street, Queens NY 11360",11360,40.782298,-73.779099,0.99
Tottenville (I.S. 34),middle,"528 Academy Avenue, Staten Island NY 10307",10307,40.508284,-74.243428,0.99
Marsh Avenue Expeditionary Learning School - MAELS,middle,"100 Essex Drive, Staten Island NY 10314",10314,40.581315,-74.158589,0.99
Frank D. Paulo (I.S. 75),middle,"455 Huguenot Avenue, Staten Island NY 10312",10312,40.54438,-74.197897,0.99
